"unit","unit_type","is_seeded","season","rainfall","pred_COSMO"
2,24,0,"2013-2014",5.25172413793103,7.73709310344828
3,24,0,"2013-2014",15.7310344827586,8.81582413793103
5,24,0,"2013-2014",20.948275862069,9.38251379310345
6,24,0,"2013-2014",13.248275862069,16.2548620689655
8,24,0,"2013-2014",53.5,17.827275862069
1,24,1,"2013-2014",12.3827586206897,2.28703655172414
4,24,1,"2013-2014",7.23793103448276,6.46481379310345
7,24,1,"2013-2014",8.58620689655172,12.2622862068966
9,24,1,"2013-2014",7.78666666666667,6.51834333333333
10,24,1,"2013-2014",25.4133333333333,20.6498866666667
11,24,1,"2013-2014",14.0366666666667,9.19669
12,24,0,"2014-2015",13.5066666666667,6.15086436666667
13,24,0,"2014-2015",14.04,3.82650498333333
16,24,0,"2014-2015",4.54,4.19307833333333
17,24,0,"2014-2015",6.46666666666667,7.22320333333333
18,24,0,"2014-2015",6.24333333333333,3.93825133333333
19,24,0,"2014-2015",10.0033333333333,5.75984133333333
22,24,0,"2014-2015",5.30666666666667,2.94216536666667
24,24,0,"2014-2015",16.1766666666667,14.8895566666667
27,24,0,"2014-2015",8.55666666666667,3.72386
29,24,0,"2014-2015",39.58,36.694
30,24,0,"2014-2015",1.38,0.351139166666667
31,24,0,"2014-2015",44.45,20.8614333333333
33,24,0,"2014-2015",2.37666666666667,0.892219013333333
37,24,0,"2014-2015",4.88333333333333,2.52538633333333
39,24,0,"2014-2015",22.0033333333333,11.6276833333333
42,24,0,"2014-2015",7.83793103448276,6.31971379310345
46,24,0,"2014-2015",10.0344827586207,8.84104448275862
47,24,0,"2014-2015",4.91379310344828,13.1798482758621
14,24,1,"2014-2015",8.11,3.90636666666667
15,24,1,"2014-2015",7.65333333333333,0.0528648333333333
20,24,1,"2014-2015",27.9166666666667,25.0447333333333
21,24,1,"2014-2015",24.33,23.5274
23,24,1,"2014-2015",8.72,2.01679533333333
25,24,1,"2014-2015",2.23,3.40684066666667
26,24,1,"2014-2015",21.7533333333333,9.66152
28,24,1,"2014-2015",30.65,29.6403666666667
32,24,1,"2014-2015",4.7,9.16517333333333
34,24,1,"2014-2015",45.8466666666667,32.5462666666667
35,24,1,"2014-2015",22.2266666666667,7.00204
36,24,1,"2014-2015",24.95,5.69975333333333
38,24,1,"2014-2015",6.89,4.99003133333333
40,24,1,"2014-2015",1.82413793103448,1.84644620689655
41,24,1,"2014-2015",0.0206896551724138,0.268185672413793
43,24,1,"2014-2015",1.83448275862069,2.74634172413793
44,24,1,"2014-2015",16.3862068965517,4.96614172413793
45,24,1,"2014-2015",19.8034482758621,9.46270689655172
49,24,0,"2015-2016",10.26,5.492215
50,24,0,"2015-2016",2.63,0.842803392
52,24,0,"2015-2016",35.6266666666667,24.2167
53,24,0,"2015-2016",11.6433333333333,6.896796
54,24,0,"2015-2016",7.93,3.39037
58,24,0,"2015-2016",4.67333333333333,6.06846133333333
60,24,0,"2015-2016",5.54666666666667,4.05732133333333
51,24,1,"2015-2016",7.81333333333333,8.66616666666667
55,24,1,"2015-2016",5.47,3.401554
56,24,1,"2015-2016",0,0.00130208333333333
57,24,1,"2015-2016",33.34,24.40667
59,24,1,"2015-2016",14.6666666666667,14.7702633333333
52.1,24,0,"2016-2017",10.7166666666667,11.6617
53.1,24,0,"2016-2017",1.98333333333333,0.360936333333333
54.1,24,0,"2016-2017",4.70333333333333,0.852114
62,24,0,"2016-2017",8.69,24.6468333333333
64,24,0,"2016-2017",14.7933333333333,12.71882
65,24,0,"2016-2017",10.0166666666667,5.19987666666667
67,24,0,"2016-2017",11.07,12.3322333333333
70,24,0,"2016-2017",4.67333333333333,0.994333333333333
76,24,0,"2016-2017",3.26333333333333,4.08238733333333
77,24,0,"2016-2017",2.06666666666667,1.10969936666667
79,24,0,"2016-2017",6.17666666666667,8.61202333333333
80,24,0,"2016-2017",2.18,0.576139466666667
82,24,0,"2016-2017",0.0666666666666667,0.149382428666667
83,24,0,"2016-2017",4.33,3.826796
84,24,0,"2016-2017",6.46,5.05322453333333
55.1,24,1,"2016-2017",8.51333333333333,2.53338833333333
61,24,1,"2016-2017",8.32,10.5643886666667
63,24,1,"2016-2017",77.5233333333333,58.5022333333333
66,24,1,"2016-2017",15.1833333333333,14.54274
68,24,1,"2016-2017",16.23,11.66627
69,24,1,"2016-2017",1.05,0.342219818043333
71,24,1,"2016-2017",0.46,0.0901694666666667
72,24,1,"2016-2017",2.45333333333333,6.91667213333333
73,24,1,"2016-2017",16.4666666666667,8.52074333333333
74,24,1,"2016-2017",25.8766666666667,19.0000966666667
75,24,1,"2016-2017",17.66,13.9236066666667
78,24,1,"2016-2017",8.06,4.21783
81,24,1,"2016-2017",7.78666666666667,1.03310526666667
86,24,0,"2017-2018",11.41,6.86112333333333
88,24,0,"2017-2018",19.6733333333333,18.57902
90,24,0,"2017-2018",12.5733333333333,3.792139
91,24,0,"2017-2018",39.0733333333333,34.1918666666667
93,24,0,"2017-2018",29.3766666666667,28.3929666666667
94,24,0,"2017-2018",11.49,12.2250866666667
95,24,0,"2017-2018",8.72666666666667,3.84789666666667
102,24,0,"2017-2018",3.74333333333333,0.484900376666667
85,24,1,"2017-2018",7.79333333333333,9.021593
87,24,1,"2017-2018",0.506666666666667,3.61702173333333
89,24,1,"2017-2018",20.2133333333333,9.63257333333333
92,24,1,"2017-2018",31.4,26.777
96,24,1,"2017-2018",12.8833333333333,9.58982333333333
97,24,1,"2017-2018",38.4,18.99
98,24,1,"2017-2018",20.67,21.4387033333333
99,24,1,"2017-2018",26.1366666666667,11.94542
100,24,1,"2017-2018",6.27666666666667,11.8389133333333
101,24,1,"2017-2018",3.64666666666667,2.76896766666667
105,24,0,"2018-2019",15.3566666666667,2.53798543
106,24,0,"2018-2019",1.2,1.74908838
108,24,0,"2018-2019",0.133333333333333,0.00257159933333333
109,24,0,"2018-2019",36.26,35.0572333333333
111,24,0,"2018-2019",4.34,4.06226266666667
112,24,0,"2018-2019",17.11,7.23400333333333
114,24,0,"2018-2019",0.13,1.20244233333333
117,24,0,"2018-2019",46.0666666666667,23.8790366666667
118,24,0,"2018-2019",21.6866666666667,19.2422333333333
120,24,0,"2018-2019",28.5566666666667,22.887
123,24,0,"2018-2019",11.6266666666667,10.29445
124,24,0,"2018-2019",13.36,10.42154
125,24,0,"2018-2019",11.2133333333333,7.48250333333333
130,24,0,"2018-2019",1.81,1.28639140666667
131,24,0,"2018-2019",11.1833333333333,11.4892933333333
132,24,0,"2018-2019",28.31,36.1367
133,24,0,"2018-2019",10.4733333333333,10.3341766666667
137,24,0,"2018-2019",8.42,2.41198603333333
138,24,0,"2018-2019",2.55666666666667,2.23402333333333
139,24,0,"2018-2019",42.1833333333333,39.4085333333333
141,24,0,"2018-2019",28.3233333333333,43.3332
142,24,0,"2018-2019",17.3566666666667,19.6685533333333
144,24,0,"2018-2019",1.00666666666667,2.2177136
103,24,1,"2018-2019",0.963333333333333,3.2703825
104,24,1,"2018-2019",1.45,6.41631666666667
107,24,1,"2018-2019",0.34,1.68815853666667
110,24,1,"2018-2019",27.8866666666667,36.0097
113,24,1,"2018-2019",11.9,11.5535933333333
115,24,1,"2018-2019",5.30666666666667,4.25398666666667
116,24,1,"2018-2019",29.4066666666667,22.2971333333333
119,24,1,"2018-2019",1.07333333333333,1.01810113333333
121,24,1,"2018-2019",19.0166666666667,21.0677
